Kissimmee Utility Authority,FL
Lake Worth Utilities,FL
Lakeland Electric,FL
LCEC,FL
Ocala Electric,FL
Okefenokee Rural Electric (OREMC),FL
Orlando Utilities Commission,FL
Paige Electric,FL
Peace River Electric Cooperative,FL
Progress Energy Florida,FL
SECO Energy,FL
St. Petersburg Utility Department,FL
Sumter Electric Cooperative,FL
Talquin Electric Cooperative,FL
Tampa Electric,FL
TECO,FL
West Florida Electric Cooperative,FL
Withlacoochee River Electric Cooperative,FL
Other,FL
Amicalola Electric Membership Corporation,GA
Blue Ridge Mountain EMC,GA
Charles E Hill Electric Co,GA
City of LaGrange Utilities,GA
City of Sylvester Utilities,GA
Cobb EMC,GA
Colquitt Electric Corporation,GA
Coweta Fayette EMC,GA
Diverse Power,GA
Fitzgerald Utilities,GA
Flint Energies,GA
Georgia EMC,GA
Georgia Power,GA
Habersham EMC,GA
Hart EMC,GA
Jackson EMC,GA
North Georgia EMC,GA
Rayle Electric Membership Corporation,GA
Rowell Electric Co,GA
Sawnee EMC,GA
Snapping Shoals EMC,GA
Southern Rivers Energy,GA
Tennessee Valley Authority,GA
Tri-State Electric,GA
Walton EMC,GA
Washington EMC,GA
Other,GA
Hawaiian Electric Industries,HI
Hawaiian Electric Company (HECO),HI
Kauai Island Utility Cooperative (KIUC),HI
Maui Electric Company,HI
Other,HI
Alliant Energy,IA
Chariton Valley Electric Cooperative,IA
City of Denver Electric (Iowa),IA
FRANKLIN REC,IA
Guthrie County REC,IA
Guttenberg Public Works and Utilities,IA
Interstate Power and Light Company,IA
Iowa Lakes Electric Cooperative,IA
Linn County RE,IA
MidAmerican Energy,IA
Midland Power Co-Op,IA
Muscatine Power and Water,IA
Southwest Iowa Rural Electric Cooperative,IA
Tip Rural Electric Co-Op,IA
Other,IA
City of Rupert Electric,ID
City of Weiser,ID
Clearwater Power,ID
IDACORP,ID
Idaho Power,ID
Kootenai Electric Cooperative,ID
Lost River Electric Co-Op,ID
Northern Lights Electric Cooperative,ID
PacifiCorp (Rocky Mountain Power),ID
Riverside Electric Co,ID
Other,ID
Tara Energy,IL
Ambit Energy,IL
IGS Energy,IL
Other,IL
American Electric Power,IN
IGS Energy,IN
Other,IN
Bluestem Electric,KS
Caney Valley Elec Co-Op Association,KS
City of Erie Kansas (Utility Company),KS
Coffeyville Municipal Light and Power,KS
Kansas City Board of Public Utilities,KS
Kansas City Power & Light,KS
Midwest Energy,KS
Prarie Land Electric Co-op,KS
Rolling Hills Electric Cooperative,KS
Westar Energy,KS
Other,KS
American Electric Power,KY
IGS Energy,KY
Other,KY
Beauregard Electric CO-OP,LA
CITY OF ALEXANDRIA,LA
CITY OF MINDEN,LA
Claiborne Electric Cooperative,LA
CLECO,LA
Concordia Electric Co-Op,LA
DEMCO,LA
East-Central Iowa Rural Electric Cooperative,LA
Entergy,LA
Etheredge Electric Co,LA
Heartland Rural Electric Cooperative,LA
Jefferson Davis Electric Co-Op,LA
Lafayette Utilities System,LA
Pointe Coupee Electric Membership,LA
Puckett Electric,LA
SLECMO,LA
SWEPCO,LA
Town of Vinton Electric,LA
Washington - St. Tammany Electric Cooperative,LA
Other,LA
NSTAR,MA
Western Massachusetts Electric,MA
National Grid,MA
Nantucket Electric,MA
Massachusetts Electric,MA
Holden Municipal Light Department,MA
Ambit Energy,MA
Belmont Electric Light Department,MA
Taunton Municipal Lighting Plant (TMLP),MA
Reading Municipal Light Department,MA
Eversource Energy,MA
Unitil,MA
City of Taunton,MA
Concord Municipal Light Plant,MA
Town of Mansfield,MA
Other,MA
Allegheny Power,MD
Baltimore Gas & Electric,MD
Choptank Electric Cooperative,MD
PEPCO,MD
Delmarva Power,MD
Southern Maryland Electric Cooperative,MD
Potomoc Edison (FirstEnergy),MD
Ambit Energy,MD
IGS Energy,MD
City of Hagerstown,MD
Easton Utilities,MD
Town of Berlin,MD
Other,MD
Bangor Hydro Electric,ME
Central Maine Power,ME
Eastern Maine Electric Cooperative,ME
Kennebunk Light and Power,ME
Maine Public Utilities Commission,ME
Other,ME
American Electric Power,MI
IGS Energy,MI
Other,MI
Xcel Energy,MN
Rochester Public Utilities,MN
Dakota Electric Association,MN
Shakopee Public Utilities,MN
Northern States Power Company (NSP),MN
Austin Public Utilities,MN
Owatonna Public Utilities,MN
Other,MN
Ameren,MO
Barton County Electric Cooperative,MO
Black River Electric Cooperative,MO
Boone Electric Cooperative,MO
Callaway Electric Cooperative,MO
Citizens Electric Corporation,MO
City of Pharr PUD,MO
City of Thayer,MO
City of Waynesville Electric,MO
City of Willow Springs,MO
City Utilities of Springfield,MO
Coast Electric,MO
Crawford Electric Cooperative,MO
Cuivre River Electric,MO
Empire District Electric Company,MO
Gascosage Electric Co-Op,MO
Hannibal Board of Public Works,MO
Harrisonville Electric,MO
Howard Electric Cooperative,MO
Howell-Oregon Electric Co-Op,MO
Independence Power and Light,MO
Intercounty Electric Cooperative,MO
Kansas City Power & Light,MO
Laclede Electric Cooperative,MO
New-Mac Electric,MO
Nixa Utilities,MO
Ozark Border Electric Cooperative,MO
Platte-Clay Electric Cooperative,MO
Rolla Municipal Utilities (RMU),MO
SAC Osage Electric Co-Op,MO
Webster Electric Cooperative,MO
West Central Electric Cooperative,MO
White Valley River Valley Electric Cooperative,MO
Other,MO
Coahoma EPA,MS
East Mississippi Electric Power Association,MS
Entergy,MS
Magnolia Electric,MS
Mississippi Power Company,MS
Pontotoc Electric Power Association (PEPA),MS
Prentiss County Electric Power Association (PCEPA),MS
Singing River Electric Power Association,MS
Southern Pine Electric Power Association,MS
Southwest Mississippi Electric Power Association,MS
Tennessee Valley Authority,MS
Tishomingo County Power,MS
Tombigbee Electric Power Association,MS
Other,MS
Central Montana Electric Power Cooperative,MT
Flathead Electric Co-Op,MT
MDU,MT
Mission Valley Power,MT
Missoula Electric Cooperative,MT
Montana Electric Cooperatives Association,MT
Northwestern Energy,MT
Park Electric Co-Op,MT
Ravalli Electric Co-Op,MT
Vigilante Electric Co-Op,MT
Other,MT
Albemarle Electric Membership Corporation,NC
Ashley Smith Electric Co,NC
Ayden Public Works and Utilities,NC
Blue Ridge Electrical Membership Corp.,NC
Brunswick EMC,NC
Cape Hatteras Electric Corporation,NC
Carteret-Craven Electric Cooperative,NC
Central Electric Membership Corporation,NC
City of Albemarle,NC
City of Concord Electric,NC
City of Gastonia,NC
City of Kinston Electric,NC
City of Lexington Utilities,NC
CITY OF MONROE,NC
City of New Bern Electric,NC
City of Shelby Utilities,NC
Dobbins Electric Co,NC
Dominion North Carolina Power,NC
Duke Energy NC,NC
Edgecombe-Martin County EMC,NC
ElectriCities,NC
EnergyUnited Electric,NC
Farmville Utilities Department,NC
Four County Electric Membership,NC
French Broad Electric Membership Corporation,NC
Greenville Utilities Commission,NC
Halifax Electric Membership,NC
Haywood EMC,NC
High Point Electric Department,NC
Jones-Onslow EMC,NC
Lumbee River EMC,NC
Lumberton Power,NC
New River Light and Power,NC
North Carolina Electric Membership Corp.,NC
Piedmont Electric,NC
Progress Energy Carolinas,NC
PWC Fayetteville,NC
Randolph Electric Membership Corp,NC
Roanoke Electric Co-Op,NC
Rutherford EMC,NC
South River Electric Cooperative,NC
Storm Electric,NC
Surry-Yadkin EMC,NC
Tideland EMC,NC
Town of Forest City Utilities,NC
Union Power Cooperative,NC
Wake Electric,NC
Washington Electric Utilities,NC
Wesco Electric,NC
Williams Electric Co,NC
WIlson Energy,NC
Wilson Utilities Department,NC
Other,NC
Xcel Energy,ND
Other,ND
ABC Electric Co,NE
City of Alliance,NE
Fairbury Light and Water,NE
Lincoln Electric System (LES),NE
Nebraska Public Power District,NE
Omaha Public Power District,NE
Southern Power District,NE
Wheat Belt PPD,NE
Other,NE
National Grid,NH
Unitil Corporation,NH
Eversource Energy,NH
Other,NH
Atlantic City Electric,NJ
Public Service Electric and Gas Company (PSE&G),NJ
FirstEnergy,NJ
Jersey Central Power and Light Company,NJ
Vineland Municipal Electric Utility,NJ
Sussex Rural Electric Cooperative,NJ
Orange & Rockland,NJ
Ambit Energy,NJ
Madison Electric Department,NJ
Other,NJ
El Paso Electric,NM
PNM,NM
Central New Mexico Electric Cooperative,NM
Other,NM
Lincoln County Power District Number 1,NV
Nevada Power,NV
NV Energy,NV
Overton Power District No 5,NV
Sierra Pacific Power,NV
Surprise Valley Electric,NV
Other,NV
Consolidated Edison Company of New York (Con Edison),NY
National Grid,NY
New York State Electric & Gas (NYSEG),NY
Rochester Gas & Electric,NY
Orange & Rockland,NY
Central Hudson Gas & Electric,NY
Ambit Energy,NY
IGS Energy,NY
Public Service Electric and Gas Company (PSE&G),NY
Other,NY
FirstEnergy,OH
American Electric Power,OH
IGS Energy,OH
Other,OH
American Electric Power,OK
Other,OK
Ameren,OR
Ashland Electric,OR
Canby Electric,OR
Central Electric Cooperative,OR
Central Lincoln PUD,OR
City of Forest Grove Light and Power,OR
Columbia River Public Utility District,OR
Coos-Curry Electric Co-Op,OR
Douglas Electric Co-Op,OR
Emerald PUD,OR
Eugene Water & Electric Board,OR
Idaho Power,OR
Midstate Electric Cooperative,OR
Oregon Trail Electric Co-op,OR
PacifiCorp (Pacific Power),OR
Portland General Electric,OR
Salem Electric,OR
Springfield Utility Board (SUB),OR
Tillamook PUD,OR
Umatilla Electric Cooperative,OR
Wasco Electric,OR
West Oregon Electric Cooperative,OR
Other,OR
FirstEnergy,PA
PECO,PA
Allegheny Power,PA
PPL,PA
Duquesne Light,PA
Ambit Energy,PA
IGS Energy,PA
Other,PA
National Grid,RI
Other,RI
Duke Energy SC,SC
Other,SC
Black Hills Power,SD
East River Electric Cooperative,SD
Montana-Dakota Utilities,SD
Northwestern Energy,SD
Otter Tail Power Company,SD
Rushmore Electric Cooperative,SD
West River Electric Association,SD
Xcel Energy,SD
Other,SD
Alcoa Electric Department,TN
Athens Utilities Board,TN
Bill Dower's Sons Electric Co,TN
Chickasaw Electric Co-Op,TN
Citizens Utilities Board,TN
City of Cookeville Electric Department,TN
City of Lebanon Utilities,TN
Clarksville Department of Electricity,TN
Clinton Utilities Board,TN
Columbia Power and Water Systems,TN
Cumberland Electric Membership Corporation,TN
Dickson Electric System,TN
Duck River EMC,TN
Electric Power Board,TN
Elizabethton Electric Department,TN
Forked Deer Electric,TN
Fort Loudoun Electric Cooperative,TN
Gibson Electric Membership Corporation,TN
Holston Electric Cooperative (HEC),TN
Jackson Energy Authority,TN
Jellico Electric and Water,TN
Kingsport Power (Appalachian Power),TN
Knoxville Utilities Board,TN
Landon Electric Company,TN
Lawrenceburg Utility Department,TN
Lenoir City Utilities Board,TN
McMinnville Electric System,TN
Memphis Light Gas and Water,TN
Middle Tennessee Electric Membership Corporation (MTEMC),TN
Mountain Electric Co-Op,TN
Nashville Electric Service,TN
Pickwick Electric Cooperative,TN
Rains Electric Company,TN
Sequachee Valley Electric Cooperative,TN
Sevier County Electric System,TN
Sewell Electric Company,TN
Tennessee Jackson Energy Authority,TN
Tennessee Valley Authority,TN
Trenton Light and Water,TN
Upper Cumberland Electric Membership Corporation (UCEMC),TN
Volunteer Electric Cooperative,TN
Weakley County Municipal Electric System,TN
Other,TN
American Electric Power,TX
CPS Energy,TX
dPi Energy,TX
Luminant,TX
Reliant Energy,TX
Oncor Electric (Formerly TXU),TX
Stream Energy,TX
Direct Energy,TX
Just Energy,TX
Tara Energy,TX
Bounce Energy,TX
Champion Energy Services,TX
Tri Eagle Energy,TX
Star Tex Power,TX
Gexa Energy,TX
Amigo Energy,TX
Green Mountain Energy,TX
Entrust Energy,TX
Summer Energy,TX
Ambit Energy,TX
Pennywise Power,TX
Everything Energy,TX
El Paso Electric,TX
Cirro Energy,TX
Source Power and Gas,TX
IGS Energy,TX
Brilliant Energy,TX
AP Gas and Electric,TX
Frontier Utilities,TX
4Change Energy,TX
Veteran Energy,TX
MP2 Energy,TX
APNA Energy,TX
Breeze Energy,TX
Clearview Energy,TX
Eagle Energy,TX
First Choice Power,TX
HINO Electric,TX
Infinite Energy,TX
New Leaf Energy,TX
Our Energy,TX
Spark Energy,TX
TruSmart Energy,TX
True Electric,TX
TXU Energy,TX
YEP Energy,TX
Texpo Energy,TX
Other,TX
Brigham City Public Power,UT
City of Santa Clara Power,UT
Dixie Escalante Electric,UT
Garkane Energy Cooperative,UT
Heber Light and Power,UT
Hurricane City Utilities,UT
Hyrum City Power & Light,UT
Intermountain Power Agency,UT
Kaysville City,UT
Lehi City Power,UT
Moon Lake Electric Association,UT
Murray City Power,UT
PacifiCorp (Rocky Mountain Power),UT
Payson City,UT
Provo City Power,UT
Rocky Mountain Power,UT
Spanish Fork City,UT
Springville Electric,UT
Strawberry Electric Service District,UT
Other,UT
Allegheny Power,VA
Delmarva Power,VA
IGS Energy,VA
Other,VA
Green Mountain Power,VT
Burlington Electric Department,VT
Other,VT
Avista Utilities,WA
Benton PUD,WA
Chelan County Public Utility District,WA
City of Blaine,WA
Clallam County PUD,WA
Clark County PUD,WA
Clark Public Utilities,WA
Columbia REA,WA
Cowlitz PUD,WA
Douglas County Public Utility District,WA
Grant County Public Utility District,WA
Greys Harbour PUD,WA
Inland Power and Light,WA
Klickitat Public Utility District,WA
Lewis County Public Works,WA
Mason County Public Utility District 3,WA
Modern Electric Water Company,WA
Orcas Power and Light Cooperative (OPALCO),WA
Pacific County Public Utility District No. 2,WA
PacifiCorp (Pacific Power),WA
Peninsula Light Company,WA
Puget Sound Energy,WA
Seattle City Light,WA
Snohomish County Public Utility District (PUD),WA
Tacoma Power,WA
Tanner Electric,WA
Other,WA
Alliant Energy,WI
Dairyland Power Co-op,WI
Eau Claire Energy Cooperative,WI
Kaukauna Utilities,WI
Madison Gas and Electric,WI
North Central Power,WI
Oakdale Electric Co-op,WI
Pierce Pepin Cooperative Services,WI
Polk-Burnett Electric Cooperative,WI
Richland Electric Cooperative,WI
River Falls Municipal Utility,WI
Scenic Rivers Energy Cooperative,WI
Spooner Municipal Utility,WI
St. Croix Electric Cooperative (SCEC),WI
Superior Water Light and Power,WI
Vernon Electrical Cooperative,WI
Village of Hustisford Electric,WI
We Energies,WI
Westby Electric Department,WI
Wisconsin Power and Light Company,WI
Wisconsin Public Service Corporation,WI
Xcel Energy,WI
Other,WI
Allegheny Power,WV
Appalachian Power,WV
Wheeling Electric Power (AEP Ohio),WV
Other,WV
Cheyenne Light Fuel & Power,WY
High Plains Power,WY
High West Energy,WY
Lower Valley Energy,WY
PacifiCorp (Rocky Mountain Power),WY
Powder River Energy Corporation,WY
Wheatland Rural Electric Association,WY
Other,WY
